metric_id,h_inf_normalized,lambda_max,lower,upper
von_neumann_entropy,0.0,1.0,-0.0,-0.0
von_neumann_entropy,0.0007142857142857143,0.9950611849622899,0.004494690072656051,0.009432808949689193
von_neumann_entropy,0.0014285714285714286,0.9901467618185567,0.007981862239937887,0.01783371153823592
von_neumann_entropy,0.002142857142857143,0.9852566101017473,0.011080829890707475,0.025822141604574866
von_neumann_entropy,0.002857142857142857,0.9803906099397734,0.013924172957609476,0.03353079893654194
von_neumann_entropy,0.0035714285714285713,0.9755486420525732,0.016575216541845343,0.04102312789858731
von_neumann_entropy,0.004285714285714286,0.9707305877491863,0.0190714660066878,0.04833675252821344
von_neumann_entropy,0.005,0.9659363289248456,0.021437840959255168,0.055496710520658396
von_neumann_entropy,0.005714285714285714,0.9611657480580811,0.02369215084073143,0.0625209288220104
von_neumann_entropy,0.0064285714285714285,0.95641872820784,0.025847785491518106,0.06942291419724023
von_neumann_entropy,0.007142857142857143,0.9516951530106196,0.02791519562992455,0.0762132337117577
von_neumann_entropy,0.007857142857142858,0.946994906677615,0.0299027762005465,0.0829003980826422
von_neumann_entropy,0.008571428571428572,0.9423178739918807,0.03181742666928079,0.08949142197649532
von_neumann_entropy,0.009285714285714286,0.9376639403055067,0.03366492386332277,0.0959921968522622
von_neumann_entropy,0.01,0.9330329915368074,0.03545017985371753,0.10240774884659269
von_neumann_entropy,0.010714285714285714,0.9284249141675258,0.0371774261044636,0.10874242292574128
von_neumann_entropy,0.011428571428571429,0.9238395952400507,0.03885034853717379,0.11500001795300978
von_neumann_entropy,0.012142857142857143,0.9192769223546471,0.04047218887928093,0.12118388803972242
von_neumann_entropy,0.012857142857142857,0.9147367836667022,0.042045822222689266,0.12729702010663102
von_neumann_entropy,0.013571428571428571,0.9102190678839825,0.04357381740297177,0.13334209426585447
von_neumann_entropy,0.014285714285714285,0.9057236642639067,0.045058484718281486,0.13932153154251747
von_neumann_entropy,0.015,0.9012504626108302,0.04650191414991041,0.14523753209802356
von_neumann_entropy,0.015714285714285715,0.8967993532733447,0.04790600634250668,0.15109210621297314
