model,n,run_id,step,tau,half_min_entropy,half_vn,half_linear,half_logneg,half_lambda_max
qca,20,QCA_1,0,0.0,-0.0,0.0,0.0,0.0,1.0
qca,20,QCA_1,1,0.05,0.10000000000000056,0.1000000000000273,0.5004887585532797,0.1000001310342792,0.4999999999999981
qca,20,QCA_1,2,0.1,0.20000000000000026,0.2000000000000123,0.7507331378299131,0.200000077019152,0.2499999999999995
qca,20,QCA_1,3,0.1499999999999999,0.3000000000000004,0.3000000000000109,0.8758553274682311,0.3000000601826722,0.1249999999999997
qca,20,QCA_1,4,0.2,0.3999999999999998,0.4000000000000049,0.9384164222873902,0.4000000269613558,0.0625000000000001
qca,20,QCA_1,5,0.25,0.49999999999999956,0.5000000000000031,0.9696969696969696,0.5000000198618094,0.0312500000000001
qca,20,QCA_1,6,0.2999999999999999,0.6000000000000019,0.6000000000000018,0.9853372434017597,0.6000000119750084,0.0156249999999998
qca,20,QCA_1,7,0.3499999999999999,0.7,0.7000000000000038,0.9931573802541545,0.7000000121621783,0.0078125
qca,20,QCA_1,8,0.4,0.8000000000000075,0.8000000000000032,0.997067448680352,0.8000000075653463,0.0039062499999998
qca,20,QCA_1,9,0.45,0.9,0.9000000000000024,0.9990224828934506,0.9000000041358289,0.001953125
qca,20,QCA_1,10,0.5,1.0,1.0,1.0,1.0,0.0009765625
qca,20,QCA_1,11,0.55,1.0,1.0,1.0,1.0,0.0009765625
qca,20,QCA_1,12,0.5999999999999999,1.0,1.0,1.0,1.0,0.0009765625
qca,20,QCA_1,13,0.65,0.9,0.9000000000000018,0.9990224828934506,0.9000000034430162,0.001953125
qca,20,QCA_1,14,0.6999999999999998,0.9,0.9000000000000018,0.9990224828934506,0.9000000036699269,0.001953125
qca,20,QCA_1,15,0.75,1.0,1.0,1.0,1.0,0.0009765625
qca,20,QCA_1,16,0.8,0.9,0.9000000000000019,0.9990224828934506,0.9000000038096122,0.001953125
qca,20,QCA_1,17,0.8499999999999999,0.9,0.9000000000000021,0.9990224828934506,0.9000000039785905,0.001953125
qca,20,QCA_1,18,0.9,0.8000000000000075,0.800000000000003,0.997067448680352,0.8000000075913029,0.0039062499999998
qca,20,QCA_1,19,0.95,0.7,0.7000000000000038,0.9931573802541545,0.700000012102106,0.0078125
qca,20,QCA_1,20,1.0,0.7,0.700000000000005,0.9931573802541545,0.7000000148615096,0.0078125
qca,20,QCA_1,21,1.05,0.8000000000000075,0.8000000000000022,0.997067448680352,0.8000000061776766,0.0039062499999998
qca,20,QCA_1,22,1.1,0.9,0.9000000000000024,0.9990224828934506,0.9000000040571339,0.001953125
qca,20,QCA_1,23,1.15,0.9,0.9000000000000024,0.9990224828934506,0.9000000040407808,0.001953125
qca,20,QCA_1,24,1.2,1.0,1.0,1.0,1.0,0.0009765625
qca,20,QCA_1,25,1.25,1.0,1.0,1.0,1.0,0.0009765625
qca,20,QCA_1,26,1.3,1.0,1.0,1.0,1.0,0.0009765625
qca,20,QCA_1,27,1.35,1.0,1.0,1.0,1.0,0.0009765625
qca,20,QCA_1,28,1.4,0.9,0.9000000000000021,0.9990224828934506,0.9000000039548578,0.001953125
qca,20,QCA_1,29,1.45,0.8000000000000075,0.8000000000000027,0.997067448680352,0.800000006955562,0.0039062499999998
qca,20,QCA_1,30,1.5,0.7,0.7000000000000036,0.9931573802541545,0.7000000120414724,0.0078125
qca,20,QCA_1,31,1.55,0.6000000000000019,0.6000000000000049,0.9853372434017597,0.60000002096137,0.0156249999999998
qca,20,QCA_1,32,1.6,0.49999999999999956,0.5000000000000044,0.9696969696969696,0.5000000251314165,0.0312500000000001
qca,20,QCA_1,33,1.65,0.3999999999999998,0.4000000000000053,0.9384164222873902,0.4000000461861162,0.0625000000000001
qca,20,QCA_1,34,1.7,0.3999999999999991,0.4000000000000018,0.93841642228739,0.4000000061112137,0.0625000000000004
qca,20,QCA_1,35,1.75,0.49999999999999956,0.5000000000000064,0.9696969696969698,0.5000000363990694,0.0312500000000001
qca,20,QCA_1,36,1.8,0.6000000000000019,0.6000000000000046,0.9853372434017597,0.6000000181030615,0.0156249999999998
qca,20,QCA_1,37,1.85,0.7,0.7000000000000041,0.9931573802541545,0.7000000133412309,0.0078125
qca,20,QCA_1,38,1.9,0.8000000000000075,0.8000000000000022,0.997067448680352,0.8000000053023272,0.0039062499999998
qca,20,QCA_1,39,1.95,0.7,0.7000000000000035,0.9931573802541545,0.7000000119965232,0.0078125
qca,20,QCA_1,40,2.0,0.8000000000000075,0.8000000000000037,0.997067448680352,0.8000000081018147,0.0039062499999998
qca,20,QCA_1,41,2.05,0.9,0.9000000000000024,0.9990224828934506,0.9000000040229144,0.001953125
qca,20,QCA_1,42,2.1,0.8000000000000075,0.8000000000000019,0.997067448680352,0.8000000055373466,0.0039062499999998
qca,20,QCA_1,43,2.15,0.7,0.7000000000000035,0.9931573802541545,0.7000000119313639,0.0078125
qca,20,QCA_1,44,2.2,0.7,0.7000000000000027,0.9931573802541545,0.7000000084431903,0.0078125
qca,20,QCA_1,45,2.25,0.8000000000000075,0.800000000000003,0.997067448680352,0.8000000072528153,0.0039062499999998
qca,20,QCA_1,46,2.3,0.9,0.9000000000000019,0.9990224828934506,0.9000000037144551,0.001953125
qca,20,QCA_1,47,2.35,1.0,1.0,1.0,1.0,0.0009765625
qca,20,QCA_1,48,2.4,1.0,1.0,1.0,1.0,0.0009765625
qca,20,QCA_1,49,2.45,0.9,0.9000000000000019,0.9990224828934506,0.9000000037218548,0.001953125
qca,20,QCA_1,50,2.5,0.9,0.9000000000000018,0.9990224828934506,0.9000000033577644,0.001953125
qca,20,QCA_1,51,2.55,1.0,1.0,1.0,1.0,0.0009765625
qca,20,QCA_1,52,2.6,1.0,1.0,1.0,1.0,0.0009765625
qca,20,QCA_1,53,2.65,0.9,0.9000000000000021,0.9990224828934506,0.9000000041435098,0.001953125
qca,20,QCA_1,54,2.7,0.9,0.9000000000000014,0.9990224828934506,0.9000000031213248,0.001953125
qca,20,QCA_1,55,2.75,1.0,1.0,1.0,1.0,0.0009765625
qca,20,QCA_1,56,2.8,0.9,0.9000000000000021,0.9990224828934506,0.9000000038763643,0.001953125
qca,20,QCA_1,57,2.85,0.8000000000000075,0.800000000000003,0.997067448680352,0.8000000077715732,0.0039062499999998
qca,20,QCA_1,58,2.9,0.8000000000000075,0.8000000000000039,0.997067448680352,0.8000000088576719,0.0039062499999998
qca,20,QCA_1,59,2.95,0.9,0.9000000000000021,0.9990224828934506,0.9000000038683696,0.001953125
qca,20,QCA_1,60,3.0,1.0,1.0,1.0,1.0,0.0009765625
qca,20,QCA_1,61,3.05,1.0,1.0,1.0,1.0,0.0009765625
qca,20,QCA_1,62,3.1,0.9,0.9000000000000018,0.9990224828934506,0.9000000035207417,0.001953125
qca,20,QCA_1,63,3.15,0.8000000000000075,0.8000000000000027,0.997067448680352,0.8000000068858191,0.0039062499999998
qca,20,QCA_1,64,3.2,0.7,0.7000000000000037,0.9931573802541545,0.7000000119152696,0.0078125
qca,20,QCA_1,65,3.25,0.6000000000000019,0.6000000000000043,0.9853372434017597,0.6000000177629505,0.0156249999999998
qca,20,QCA_1,66,3.3,0.49999999999999956,0.5000000000000042,0.9696969696969696,0.5000000249654599,0.0312500000000001
qca,20,QCA_1,67,3.35,0.3999999999999998,0.4000000000000045,0.9384164222873902,0.4000000364269691,0.0625000000000001
qca,20,QCA_1,68,3.4,0.3999999999999998,0.4000000000000019,0.93841642228739,0.400000006406926,0.0625000000000001
qca,20,QCA_1,69,3.45,0.49999999999999956,0.500000000000006,0.9696969696969698,0.5000000285824222,0.0312500000000001
qca,20,QCA_1,70,3.5,0.6000000000000019,0.6000000000000032,0.9853372434017597,0.6000000121399359,0.0156249999999998
qca,20,QCA_1,71,3.55,0.7,0.7000000000000044,0.9931573802541545,0.7000000141739215,0.0078125
qca,20,QCA_1,72,3.6,0.8000000000000075,0.8000000000000022,0.997067448680352,0.8000000053422267,0.0039062499999998
qca,20,QCA_1,73,3.65,0.7,0.7000000000000038,0.9931573802541545,0.7000000122513385,0.0078125
qca,20,QCA_1,74,3.7,0.8000000000000075,0.8000000000000033,0.997067448680352,0.8000000083402845,0.0039062499999998
qca,20,QCA_1,75,3.75,0.8000000000000075,0.8000000000000049,0.997067448680352,0.800000011535582,0.0039062499999998
qca,20,QCA_1,76,3.8,0.8000000000000075,0.8000000000000028,0.997067448680352,0.8000000065171741,0.0039062499999998
qca,20,QCA_1,77,3.85,0.9,0.9000000000000021,0.9990224828934506,0.9000000042230669,0.001953125
qca,20,QCA_1,78,3.9,0.8000000000000075,0.800000000000003,0.997067448680352,0.8000000076274755,0.0039062499999998
qca,20,QCA_1,79,3.95,0.9,0.9000000000000021,0.9990224828934506,0.9000000039985393,0.001953125
qca,20,QCA_1,80,4.0,0.8000000000000075,0.8000000000000032,0.997067448680352,0.8000000077946319,0.0039062499999998
qca,20,QCA_2,0,0.0,1.2173020714496738e-15,4.5645961455585936e-14,1.6891885956681952e-14,2.8868988857135204e-07,0.9999999999999916
qca,20,QCA_2,1,0.05,0.06763139969311915,0.0953870632859389,0.468825666291523,0.097662321983773,0.6257620198494411
qca,20,QCA_2,2,0.1,0.16606320611213007,0.1953629420730425,0.7348161548798777,0.197650051011075,0.3163005432636993
qca,20,QCA_2,3,0.1499999999999999,0.24103166768993237,0.2939157422287258,0.8649729273857071,0.2969649648857468,0.1881145470551097
