metric_id,label,x_value,y_value,more_entangled
von_neumann_entropy,$H_1$,0.639031859650177,0.6108643020548935,x
renyi_two,$H_2$,0.41551544396166573,0.5447271754416722,y
renyi_half,$H_{1/2}$,0.846456442164931,0.650508505098256,x
min_entropy,$H_\infty$,0.2231435513142097,0.35667494393873245,y
