model,step,half_lambda_max,common_mode,tau
qca,22,0.10951835930802367,-0.4613334671499568,1.1
qca,23,0.10048970339505688,-0.3847643855824677,1.15
qca,24,0.09261929808743607,0.7313856251061296,1.2
qca,25,0.08758335218812352,0.9052053035537538,1.25
qca,26,0.08193917627849173,0.9234406087832229,1.3
qca,27,0.0757542136301084,0.9900834114015541,1.35
qca,28,0.07192803186950035,-0.19795895288787735,1.4
qca,29,0.06925243793877467,-0.1486181986124857,1.45
qca,30,0.06589803671540688,-0.25020179904966444,1.5
qca,31,0.06575421173550743,-0.26014721782832995,1.55
qca,32,0.06715355107290127,-0.3290957719827504,1.6
qca,33,0.0732723969076588,-0.43402092266171655,1.65
qca,34,0.07236831431609263,-0.5535492818214102,1.7
qca,35,0.059330544286676674,-0.3029699406831057,1.75
qca,36,0.0501875800590081,-0.18081110086404187,1.8
qca,37,0.0446744284676068,0.0050000888334642,1.85
qca,38,0.041252867457621106,0.13855698271566796,1.9
qca,39,0.041180772922801104,0.18837667013975157,1.95
qca,40,0.03752844817299932,0.17383276935682623,2.0
qca,41,0.035844472463454874,0.27781375896861116,2.05
qca,42,0.03484545996921508,0.2520768840494278,2.1
qca,43,0.034631415487794075,0.2648606996931247,2.15
qca,44,0.03346107718955363,0.37029851323835644,2.2
qca,45,0.030681623054503726,0.3494593211651979,2.25
qca,46,0.028815525757167226,0.38405137095636366,2.3
qca,47,0.0273140113215695,1.7716482021204143,2.35
qca,48,0.026056705309614524,1.7693996730166155,2.4
qca,49,0.025454366127565797,0.4045074613897102,2.45
qca,50,0.024708325024274648,0.41718170213390143,2.5
qca,51,0.023827744503407303,1.806695089840715,2.55
qca,52,0.0231865803431764,1.8498190254645008,2.6
qca,53,0.022434887806137976,0.46728976639236425,2.65
qca,54,0.022191564620929524,0.47509649569576956,2.7
qca,55,0.021633203878429624,1.8903421445813182,2.75
qca,56,0.020613699086112373,0.4825161443383436,2.8
qca,57,0.02077345207358145,0.47699913702682983,2.85
qca,58,0.02050940688952645,0.44357269705391433,2.9
qca,59,0.02014981825842005,0.4163508647161503,2.95
qca,60,0.018675178723043175,1.7589222092172276,3.0
qca,61,0.018370263551616077,1.834311132578703,3.05
qca,62,0.018094117233387424,0.43195980076509777,3.1
qca,63,0.01879914270139775,0.44363055392213385,3.15
qca,64,0.018981924200325274,0.39355222904897175,3.2
qca,65,0.021094891349108275,0.2934479869682137,3.25
qca,66,0.026636510723593125,0.17550797624758774,3.3
qca,67,0.03634540226029737,0.04920843591708457,3.35
qca,68,0.037695548771461175,-0.10381825735740458,3.4
qca,69,0.0272289356165695,0.07205844968089431,3.45
qca,70,0.0209074218948423,0.17294423586823854,3.5
qca,71,0.017653734279104626,0.29756928190519605,3.55
qca,72,0.015199392554809925,0.3735603722168443,3.6
qca,73,0.0163403237636411,0.44730384289505615,3.65
qca,74,0.014808577504598625,0.4175503936971841,3.7
qca,75,0.0145708803461589,0.4910146442437702,3.75
qca,76,0.014308662840136176,0.47822967162278,3.8
qca,77,0.013909253664022476,0.4828292267057966,3.85
qca,78,0.014031088578862651,0.40470062404739965,3.9
qca,79,0.013530549675393227,0.4249460697175171,3.95
qca,80,0.0135079966437382,0.3109719671836141,4.0
quantum_baker,0,0.9999999999999938,,0.0
quantum_baker,1,0.9995478331315312,-3.1571395951289296,0.05
quantum_baker,2,0.9925745545640484,-3.2749809690893823,0.1
quantum_baker,3,0.9874667489700089,-3.341860599927589,0.1499999999999999
quantum_baker,4,0.9869901097990792,-2.934466469114061,0.2
quantum_baker,5,0.9808377743620198,-2.9809644028842546,0.25
quantum_baker,6,0.9689765714189029,-2.793920935324336,0.2999999999999999
quantum_baker,7,0.9444860969256396,-3.048506096455873,0.3499999999999999
quantum_baker,8,0.8868311545089022,-3.214364884725712,0.4
quantum_baker,9,0.876913602323994,-3.244169292098347,0.45
quantum_baker,10,0.8583057442800286,-3.2019895827056493,0.5
quantum_baker,11,0.8873827879103859,-3.2540596966583903,0.55
quantum_baker,12,0.9086009691655039,-3.190836502473431,0.5999999999999999
quantum_baker,13,0.8889917286956062,-2.5054911009996026,0.65
quantum_baker,14,0.9522521629589458,-2.5271190683293643,0.6999999999999998
quantum_baker,15,0.9273322461876721,-2.7491484144441536,0.75
quantum_baker,16,0.8997497798017433,-2.5652337822837645,0.8
quantum_baker,17,0.8441848737650853,-2.6318421020129508,0.8499999999999999
quantum_baker,18,0.8242803594632444,-2.527535029922962,0.9
quantum_baker,19,0.8155234467132884,-2.4176943992051023,0.95
quantum_baker,20,0.8342898925451647,-2.5313195441909118,1.0
quantum_baker,21,0.8352123743103466,-2.5242168988945997,1.05
quantum_baker,22,0.8768412064935501,-2.5677640431474216,1.1
quantum_baker,23,0.8356277869660202,-1.9719953151040788,1.15
quantum_baker,24,0.8972116367195268,-2.0190612461347666,1.2
quantum_baker,25,0.8843360295119602,-1.9821250132518011,1.25
quantum_baker,26,0.8726703105472581,-1.8114421147516884,1.3
quantum_baker,27,0.7648981698122193,-1.6313214066229635,1.35
quantum_baker,28,0.7546537484887967,-1.4790225885551005,1.4
quantum_baker,29,0.7539522335729009,-1.6228004869018722,1.45
quantum_baker,30,0.7802474372669823,-1.893574039153346,1.5
quantum_baker,31,0.7340880219920618,-1.4590132780188143,1.55
quantum_baker,32,0.7789578369550472,-1.4679621606202649,1.6
quantum_baker,33,0.7284844908604986,-1.6957504487775563,1.65
quantum_baker,34,0.665528054359415,-2.0645762966643417,1.7
quantum_baker,35,0.6904946467378772,-1.7997528831151721,1.75
quantum_baker,36,0.6982901912823597,-1.6734780826541964,1.8
quantum_baker,37,0.6986155878527294,-1.218018102879755,1.85
quantum_baker,38,0.6903533375821687,-0.8858365202888221,1.9
quantum_baker,39,0.700254738432991,-1.010060648821447,1.95
quantum_baker,40,0.6260185062388847,-1.1051653081656228,2.0
quantum_baker,41,0.6280463408722013,-1.1079095576088893,2.05
quantum_baker,42,0.6578212519956381,-1.0498609220086497,2.1
quantum_baker,43,0.6925863247556238,-1.0038882820937347,2.15
quantum_baker,44,0.5689956313838856,-1.1401546552677408,2.2
quantum_baker,45,0.5870534617588385,-0.9078851262261135,2.25
quantum_baker,46,0.5908534902923105,-0.8907756870299884,2.3
quantum_baker,47,0.6061136186884192,-1.0435584761744139,2.35
quantum_baker,48,0.62212097785509,-0.6957587364647516,2.4
quantum_baker,49,0.5830481660326079,-0.8552667388205322,2.45
quantum_baker,50,0.5553901915219839,-0.7997766149394431,2.5
quantum_baker,51,0.5469259399295916,-0.9340945928099946,2.55
quantum_baker,52,0.5819509324567651,-0.7311140301049186,2.6
quantum_baker,53,0.6254578444090702,-0.6097255093701017,2.65
quantum_baker,54,0.474335054929674,-0.9167320945137202,2.7
quantum_baker,55,0.5019477278848343,-0.6972201054236862,2.75
quantum_baker,56,0.519898208979765,-0.6556846908005594,2.8
quantum_baker,57,0.4657829378984811,-0.9681809519659836,2.85
quantum_baker,58,0.5014455745773807,-0.553702984532659,2.9
quantum_baker,59,0.5019878565894565,-0.5650546386040547,2.95
quantum_baker,60,0.5413363022091914,-0.34380904726428807,3.0
quantum_baker,61,0.4626273844508152,-0.6420019277919091,3.05
quantum_baker,62,0.5131027472643468,-0.4143477031534812,3.1
quantum_baker,63,0.5228911279516397,-0.5249130752403001,3.15
quantum_baker,64,0.4172789610867606,-0.7268571074159647,3.2
quantum_baker,65,0.4444099933158868,-0.4974284407801906,3.25
quantum_baker,66,0.45661239349372573,-0.4345784468993548,3.3
quantum_baker,67,0.36001679334739695,-1.089313229644344,3.35
quantum_baker,68,0.43478036064797987,-0.2514558574752704,3.4
quantum_baker,69,0.468630091743896,-0.19253458956714337,3.45
quantum_baker,70,0.5100811959785169,-0.13529792233591204,3.5
quantum_baker,71,0.4393303365454514,-0.3453435378566737,3.55
quantum_baker,72,0.45298070397896734,-0.19387044251326754,3.6
quantum_baker,73,0.4328071452015528,-0.3526513079529686,3.65
quantum_baker,74,0.35953631016296766,-0.6448897804190953,3.7
quantum_baker,75,0.362596156558778,-0.3450586612464655,3.75
quantum_baker,76,0.36867678580347985,-0.43901825687953244,3.8
quantum_baker,77,0.32665697886235917,-0.6041540964098787,3.85
quantum_baker,78,0.3805005423415797,-0.07892124040940113,3.9
quantum_baker,79,0.39868639635457326,-0.04477538084662265,3.95
quantum_baker,80,0.42785366962619437,0.0659542436199553,4.0
random_field_xxz,0,0.9999999999999936,,0.0
random_field_xxz,1,0.884763744522066,-3.5428182961764976,0.05
random_field_xxz,2,0.7407346672751084,-2.702434900790209,0.1
random_field_xxz,3,0.7172475253096888,-2.2133334220151806,0.1499999999999999
random_field_xxz,4,0.6218714621757252,-2.185954355483322,0.2
random_field_xxz,5,0.5999525012660654,-2.030185797969245,0.25
random_field_xxz,6,0.6416688217839761,-1.4301360796779456,0.2999999999999999
random_field_xxz,7,0.6102853754150834,-1.0469612607521286,0.3499999999999999
random_field_xxz,8,0.5088071448861002,-1.1636482198611557,0.4
random_field_xxz,9,0.4642971078387075,-1.0188335486948659,0.45
random_field_xxz,10,0.4599812408591236,-0.6996968619965129,0.5
random_field_xxz,11,0.39843107328073435,-1.0163009640887486,0.55
random_field_xxz,12,0.43585716721583057,-0.6151024286581248,0.5999999999999999
random_field_xxz,13,0.47682777561742373,-0.1330117581937058,0.65
random_field_xxz,14,0.4540324850033507,-0.11517565043921785,0.6999999999999998
random_field_xxz,15,0.37938624399125975,-0.2858080382249324,0.75
random_field_xxz,16,0.3852643367937718,-0.17867438676050879,0.8
random_field_xxz,17,0.3932840329855416,-0.054011346468020915,0.8499999999999999
random_field_xxz,18,0.36854654985357443,-0.17875105761453602,0.9
random_field_xxz,19,0.4238638446969191,0.1413324926862089,0.95
random_field_xxz,20,0.4431039060406553,0.34191414094985023,1.0
random_field_xxz,21,0.4044167134845078,0.12619691788714,1.05
random_field_xxz,22,0.3382595379238025,-0.29241799647777567,1.1
random_field_xxz,23,0.36767631341224216,0.10451045935525266,1.15
random_field_xxz,24,0.35609806074634565,0.1499057558571352,1.2
random_field_xxz,25,0.3716592318782043,0.21161948680157117,1.25
random_field_xxz,26,0.4130782858710287,0.45192385152200076,1.3
random_field_xxz,27,0.4016794321825228,0.4005528359738171,1.35
random_field_xxz,28,0.354555232399066,0.20608608361375247,1.4
random_field_xxz,29,0.34709835437635833,0.28144805360608804,1.45
random_field_xxz,30,0.3640608642882558,0.42319186155638955,1.5
random_field_xxz,31,0.32884975057467203,0.038837506858578036,1.55
random_field_xxz,32,0.3782981112473045,0.48397255328552596,1.6
random_field_xxz,33,0.4031139621797989,0.6793714661954934,1.65
random_field_xxz,34,0.3826461120948229,0.5430732879694943,1.7
random_field_xxz,35,0.33365343176496903,0.2156518249903319,1.75
random_field_xxz,36,0.3480554987904779,0.4608103515285067,1.8
random_field_xxz,37,0.33795169525209756,0.3412366718977047,1.85
random_field_xxz,38,0.34238982278357344,0.40749152468298394,1.9
random_field_xxz,39,0.3833183583079837,0.6419586746664381,1.95
random_field_xxz,40,0.3900840406216405,0.6973745277265428,2.0
random_field_xxz,41,0.3603169876429824,0.5582709948352398,2.05
random_field_xxz,42,0.3221335281282596,0.2198461699436581,2.1
random_field_xxz,43,0.33348956290284165,0.43641586818121514,2.15
random_field_xxz,44,0.3124476217986844,0.15032215037413346,2.2
random_field_xxz,45,0.3505668475454659,0.5761763363830201,2.25
random_field_xxz,46,0.37174825941945416,0.7030641283083935,2.3
random_field_xxz,47,0.3639060141710935,0.6790326718229325,2.35
random_field_xxz,48,0.33985821429480356,0.6184927621928185,2.4
random_field_xxz,49,0.30848568714382796,0.23870960464246713,2.45
random_field_xxz,50,0.31932926979187864,0.39715579406305956,2.5
random_field_xxz,51,0.31887192737496706,0.3906762121349243,2.55
random_field_xxz,52,0.3496124717416481,0.7069277249929995,2.6
random_field_xxz,53,0.3584597310422041,0.7468948662150201,2.65
random_field_xxz,54,0.3411107129838607,0.680778276273125,2.7
random_field_xxz,55,0.31411883299587673,0.40698489571941343,2.75
random_field_xxz,56,0.3097634831549922,0.3656159148020851,2.8
random_field_xxz,57,0.3000238747546021,0.28027325091023636,2.85
random_field_xxz,58,0.32644237022152967,0.5943636749123974,2.9
random_field_xxz,59,0.3517278219840613,0.7899151731604134,2.95
random_field_xxz,60,0.3473696331308377,0.7803099717882183,3.0
random_field_xxz,61,0.3295788080495088,0.7033630717055892,3.05
random_field_xxz,62,0.30717801530954647,0.4195404188349333,3.1
random_field_xxz,63,0.3116403056959072,0.46448593482294487,3.15
random_field_xxz,64,0.30869670580813263,0.45304850193566804,3.2
random_field_xxz,65,0.3316259662382799,0.7464559215753329,3.25
random_field_xxz,66,0.3488128587181408,0.8342097348453401,3.3
random_field_xxz,67,0.34255862588778835,0.8182174046154548,3.35
random_field_xxz,68,0.32116981718658855,0.6376629183372291,3.4
random_field_xxz,69,0.2986254206552776,0.3905684973750396,3.45
random_field_xxz,70,0.296815739638168,0.40643087120908244,3.5
random_field_xxz,71,0.31587592280596943,0.60512232235832,3.55
random_field_xxz,72,0.3326486872753329,0.7976964406944013,3.6
random_field_xxz,73,0.3345432642686095,0.8190135248276641,3.65
random_field_xxz,74,0.3229857341338258,0.7287163244486113,3.7
random_field_xxz,75,0.308053922376793,0.5546171600555565,3.75
random_field_xxz,76,0.29580091842791395,0.4341040850590597,3.8
random_field_xxz,77,0.29993610263457426,0.4830968243425515,3.85
random_field_xxz,78,0.3163286239458535,0.6912180255707496,3.9
random_field_xxz,79,0.32996264833179867,0.8370473616228031,3.95
random_field_xxz,80,0.3265524504928624,0.8321340554909771,4.0
